Year,Month,Max (�C),Min (�C),Ave
1890,5,15.6,2.3,8.95
1890,6,18.1,11.6,14.85
1890,7,22.1,10.8,16.45
1890,8,17.8,8.5,13.15
1890,9,20.4,12.6,16.5
1890,10,13.9,9.4,11.65
1890,11,10.1,3.1,6.6
1890,12,3.2,1.4,2.3
1891,1,3.5,-2.2,0.65
1891,2,12.6,-2.1,5.25
1891,3,11.1,3.1,7.1
1891,4,11.7,-0.7,5.5
1891,5,14.3,3.1,8.7
1891,6,13.8,7.1,10.45
1891,7,18.2,10.9,14.55
1891,8,15.1,10.8,12.95
1891,9,13.7,8.3,11
1891,10,12.6,5.5,9.05
1891,11,4.6,-0.3,2.15
1891,12,9.9,1.0,5.45
1892,1,3.3,-8.3,-2.5
1892,2,8.3,1.7,5
1892,3,6.8,0.7,3.75
1892,4,16.0,2.2,9.1
1892,5,14.8,7.6,11.2
1892,6,23.0,9.3,16.15
1892,7,18.8,14.8,16.8
1892,8,18.2,7.6,12.9
1892,9,17.3,8.7,13
1892,10,11.1,3.9,7.5
1892,11,13.4,6.2,9.8
1892,12,4.6,-8.2,-1.8
1893,1,3.2,1.6,2.4
1893,2,9.6,4.3,6.95
1893,3,6.4,0.3,3.35
1893,4,19.4,7.1,13.25
1893,5,17.3,9.2,13.25
1893,6,18.4,6.9,12.65
1893,7,19.0,9.9,14.45
1893,8,24.1,14.4,19.25
1893,9,14.8,9.1,11.95
1893,10,13.2,2.3,7.75
1893,11,8.3,6.7,7.5
1893,12,11.4,7.6,9.5
1894,1,9.4,0.0,4.7
1894,2,9.4,2.4,5.9
1894,3,11.6,-3.4,4.1
1894,4,10.2,6.2,8.2
1894,5,14.3,2.5,8.4
1894,6,18.7,14.3,16.5
1894,7,15.4,10.2,12.8
1894,8,18.2,11.0,14.6
1894,9,14.1,0.7,7.4
1894,10,10.8,1.7,6.25
1894,11,13.3,8.3,10.8
1894,12,9.2,2.3,5.75
1895,1,5.7,2.9,4.3
1895,2,2.0,-10.2,-4.1
1895,3,13.7,6.0,9.85
1895,4,16.3,9.8,13.05
1895,5,16.3,2.8,9.55
1895,6,18.2,5.1,11.65
1895,7,21.9,12.2,17.05
1895,8,15.4,5.2,10.3
1895,9,18.1,7.7,12.9
1895,10,6.6,-2.2,2.2
1895,11,11.4,5.6,8.5
1895,12,7.1,0.4,3.75
1896,1,11.0,8.0,9.5
1896,2,8.4,3.6,6
1896,3,11.0,2.1,6.55
1896,4,10.3,3.8,7.05
1896,5,22.2,4.5,13.35
1896,6,24.7,10.6,17.65
1896,7,18.1,10.3,14.2
1896,8,18.8,11.7,15.25
1896,9,12.9,4.9,8.9
1896,10,9.9,3.1,6.5
1896,11,6.9,1.6,4.25
